fecha,codigo_art,dias_reaprovisionamiento,ingreso,egreso
2024-08-26,09-10016N,90,0,124
2024-08-27,09-10016N,90,16,60
2024-08-28,09-10016N,90,16,16
2024-08-29,09-10016N,90,256,324
2024-08-30,09-10016N,90,0,24
2024-08-31,09-10016N,90,0,76
2024-09-03,09-10016N,90,960,0
2024-09-06,09-10016N,90,0,120
2024-09-11,09-10016N,90,0,8
2024-09-12,09-10016N,90,560,104
2024-09-13,09-10016N,90,32,108
2024-09-16,09-10016N,90,4,36
2024-09-23,09-10016N,90,0,4
2024-09-25,09-10016N,90,4,8
2024-09-26,09-10016N,90,4,88
2024-09-27,09-10016N,90,0,8
2024-09-30,09-10016N,90,480,1724
2024-10-02,09-10016N,90,28,28
2024-10-03,09-10016N,90,12,0
2024-10-08,09-10016N,90,1508,0
2024-10-09,09-10016N,90,640,8
2024-10-10,09-10016N,90,1608,20
2024-10-14,09-10016N,90,4,112
2024-10-15,09-10016N,90,8,16
2024-10-17,09-10016N,90,300,848
2024-10-21,09-10016N,90,4,12
2024-10-22,09-10016N,90,116,192
2024-10-23,09-10016N,90,0,100
2024-10-24,09-10016N,90,100,292
2024-10-25,09-10016N,90,348,1268
2024-10-28,09-10016N,90,168,476
2024-10-29,09-10016N,90,56,128
2024-10-30,09-10016N,90,80,240
2024-10-31,09-10016N,90,1108,2692
2024-11-04,09-10016N,90,2600,0
2024-11-15,09-10016N,90,24,40
2024-11-19,09-10016N,90,0,44
2024-11-20,09-10016N,90,4,8
2024-11-21,09-10016N,90,1036,12
2024-11-22,09-10016N,90,12,164
2024-11-25,09-10016N,90,96,192
2024-11-26,09-10016N,90,0,200
2024-11-27,09-10016N,90,44,176
2024-11-28,09-10016N,90,4,12
2024-11-29,09-10016N,90,16,40
2024-12-09,09-10016N,90,2104,0
2024-12-12,09-10016N,90,0,4
2024-12-13,09-10016N,90,0,372
2024-12-14,09-10016N,90,128,256
2024-12-16,09-10016N,90,0,216
2024-12-18,09-10016N,90,0,4
2024-12-21,09-10016N,90,16,32
2024-12-23,09-10016N,90,0,8
2024-12-27,09-10016N,90,200,416
2024-12-30,09-10016N,90,200,400
2025-01-02,09-10016N,90,472,0
2025-01-03,09-10016N,90,992,0
2025-01-16,09-10016N,90,0,148
2021-02-23,09-10016O,90,8,4
2021-02-27,09-10016O,90,0,4
2021-10-07,09-10016O,90,8,0
2023-01-10,09-10016O,90,0,8
2021-01-20,09-10016R,90,24,0
2021-02-19,09-10016R,90,0,12
2021-02-22,09-10016R,90,0,12
2021-02-26,09-10016R,90,188,0
2021-03-03,09-10016R,90,8,16
2021-03-04,09-10016R,90,24,0
2021-03-10,09-10016R,90,400,0
2021-03-16,09-10016R,90,0,84
2021-03-18,09-10016R,90,76,164
2021-03-23,09-10016R,90,4,36
2021-03-24,09-10016R,90,0,200
2021-03-25,09-10016R,90,8,12
2021-03-26,09-10016R,90,0,8
2021-03-30,09-10016R,90,48,172
2021-03-31,09-10016R,90,4,8
2021-04-08,09-10016R,90,396,0
2021-04-19,09-10016R,90,0,20
2021-04-20,09-10016R,90,20,40
2021-04-21,09-10016R,90,0,40
2021-04-23,09-10016R,90,0,40
2021-04-28,09-10016R,90,36,48
2021-04-29,09-10016R,90,4,32
2021-04-30,09-10016R,90,8,56
2021-05-05,09-10016R,90,0,48
2021-05-13,09-10016R,90,0,56
2021-05-18,09-10016R,90,36,72
2021-05-21,09-10016R,90,8,32
2021-05-27,09-10016R,90,8,0
2021-06-15,09-10016R,90,220,0
2021-06-19,09-10016R,90,0,8
2021-06-22,09-10016R,90,8,24
2021-06-23,09-10016R,90,0,4
2021-06-24,09-10016R,90,12,36
2021-06-28,09-10016R,90,92,212
2021-06-29,09-10016R,90,0,8
2021-06-30,09-10016R,90,20,60
2021-07-07,09-10016R,90,1,1
2021-07-12,09-10016R,90,4,4
2021-07-19,09-10016R,90,0,52
2021-07-20,09-10016R,90,0,8
2021-07-30,09-10016R,90,0,1
2021-08-23,09-10016R,90,84,0
2021-08-25,09-10016R,90,8,48
2021-08-26,09-10016R,90,0,8
